"plantID","accession","plantnum_experiment","parent_experiment","Parent1","Parent2","treatment","experiment","meta.experiment","facility"
328,"SALK_150522C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
329,"SALK_150522C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
330,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
331,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
332,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
333,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
334,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
335,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
336,"SALK_015609C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
337,"SALK_149325C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
338,"SALK_149325C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
339,"SALK_149325C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
340,"SALK_149325C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
