"idIndividualPlant","Facility_idFacility","Experiment_idExperiment","Accession_idAccession","Parent1","Parent2","plantnum_experiment","comment","parent_experiment"
330,1,1,"SALK_015609C",0,0,NA,NA,NA
331,1,1,"SALK_015609C",0,0,NA,NA,NA
332,1,1,"SALK_015609C",0,0,NA,NA,NA
333,1,1,"SALK_015609C",0,0,NA,NA,NA
334,1,1,"SALK_015609C",0,0,NA,NA,NA
335,1,1,"SALK_015609C",0,0,NA,NA,NA
336,1,1,"SALK_015609C",0,0,NA,NA,NA
337,1,1,"SALK_149325C",0,0,NA,NA,NA
338,1,1,"SALK_149325C",0,0,NA,NA,NA
339,1,1,"SALK_149325C",0,0,NA,NA,NA
340,1,1,"SALK_149325C",0,0,NA,NA,NA
341,1,1,"SALK_149325C",0,0,NA,NA,NA
342,1,1,"SALK_149325C",0,0,NA,NA,NA
343,1,1,"SALK_149325C",0,0,NA,NA,NA
344,1,1,"SALK_149325C",0,0,NA,NA,NA
345,1,1,"SALK_149325C",0,0,NA,NA,NA
346,1,1,"SALK_149325C",0,0,NA,NA,NA
347,1,1,"SALK_149325C",0,0,NA,NA,NA
348,1,1,"SALK_149325C",0,0,NA,NA,NA
349,1,1,"SALK_145362C",0,0,NA,NA,NA
350,1,1,"SALK_145362C",0,0,NA,NA,NA
351,1,1,"SALK_145362C",0,0,NA,NA,NA
352,1,1,"SALK_145362C",0,0,NA,NA,NA
353,1,1,"SALK_145362C",0,0,NA,NA,NA
354,1,1,"SALK_145362C",0,0,NA,NA,NA
355,1,1,"SALK_145362C",0,0,NA,NA,NA
356,1,1,"SALK_145362C",0,0,NA,NA,NA
363,1,1,"SALK_008202C",0,0,NA,NA,NA
364,1,1,"SALK_008202C",0,0,NA,NA,NA
365,1,1,"SALK_008202C",0,0,NA,NA,NA
366,1,1,"SALK_008202C",0,0,NA,NA,NA
367,1,1,"SALK_008202C",0,0,NA,NA,NA
368,1,1,"SALK_008202C",0,0,NA,NA,NA
369,1,1,"SALK_008202C",0,0,NA,NA,NA
370,1,1,"SALK_102656C",0,0,NA,NA,NA
371,1,1,"SALK_102656C",0,0,NA,NA,NA
372,1,1,"SALK_102656C",0,0,NA,NA,NA
373,1,1,"SALK_102656C",0,0,NA,NA,NA
374,1,1,"SALK_102656C",0,0,NA,NA,NA
375,1,1,"SALK_102656C",0,0,NA,NA,NA
376,1,1,"SALK_102656C",0,0,NA,NA,NA
377,1,1,"SALK_102656C",0,0,NA,NA,NA
378,1,1,"SALK_119315C",0,0,NA,NA,NA
379,1,1,"SALK_119315C",0,0,NA,NA,NA
380,1,1,"SALK_119315C",0,0,NA,NA,NA
381,1,1,"SALK_119315C",0,0,NA,NA,NA
382,1,1,"SALK_119315C",0,0,NA,NA,NA
383,1,1,"SALK_119315C",0,0,NA,NA,NA
384,1,1,"SALK_119315C",0,0,NA,NA,NA
385,1,1,"SALK_119315C",0,0,NA,NA,NA
386,1,1,"SALK_119315C",0,0,NA,NA,NA
387,1,1,"SALK_119315C",0,0,NA,NA,NA
388,1,1,"SALK_119315C",0,0,NA,NA,NA
389,1,1,"SALK_119315C",0,0,NA,NA,NA
390,1,1,"SALK_119315C",0,0,NA,NA,NA
391,1,1,"SALK_119315C",0,0,NA,NA,NA
392,1,1,"SALK_119315C",0,0,NA,NA,NA
393,1,1,"SALK_119315C",0,0,NA,NA,NA
394,1,1,"SALK_CS60000",0,0,NA,NA,NA
395,1,1,"SALK_CS60000",0,0,NA,NA,NA
396,1,1,"SALK_CS60000",0,0,NA,NA,NA
397,1,1,"SALK_CS60000",0,0,NA,NA,NA
398,1,1,"SALK_CS60000",0,0,NA,NA,NA
399,1,1,"SALK_CS60000",0,0,NA,NA,NA
400,1,1,"SALK_CS60000",0,0,NA,NA,NA
401,1,1,"SALK_CS60000",0,0,NA,NA,NA
402,1,1,"SALK_CS60000",0,0,NA,NA,NA
403,1,1,"SALK_096122",0,0,NA,NA,NA
404,1,1,"SALK_096122",0,0,NA,NA,NA
405,1,1,"SALK_097633C",0,0,NA,NA,NA
406,1,1,"SALK_097633C",0,0,NA,NA,NA
407,1,1,"SALK_097633C",0,0,NA,NA,NA
408,1,1,"SALK_097633C",0,0,NA,NA,NA
409,1,1,"SALK_097633C",0,0,NA,NA,NA
410,1,1,"SALK_097633C",0,0,NA,NA,NA
411,1,1,"SALK_097633C",0,0,NA,NA,NA
412,1,1,"SALK_097633C",0,0,NA,NA,NA
413,1,1,"SALK_097633C",0,0,NA,NA,NA
414,1,1,"SALK_097633C",0,0,NA,NA,NA
415,1,1,"SALK_097633C",0,0,NA,NA,NA
416,1,1,"SALK_097633C",0,0,NA,NA,NA
417,1,1,"SALK_095299C",0,0,NA,NA,NA
418,1,1,"SALK_095299C",0,0,NA,NA,NA
419,1,1,"SALK_095299C",0,0,NA,NA,NA
420,1,1,"SALK_095299C",0,0,NA,NA,NA
421,1,1,"SALK_095299C",0,0,NA,NA,NA
422,1,1,"SALK_095299C",0,0,NA,NA,NA
423,1,1,"SALK_095299C",0,0,NA,NA,NA
424,1,1,"SALK_095299C",0,0,NA,NA,NA
425,1,1,"SALK_025133C",0,0,NA,NA,NA
426,1,1,"SALK_025133C",0,0,NA,NA,NA
427,1,1,"SALK_025133C",0,0,NA,NA,NA
428,1,1,"SALK_025133C",0,0,NA,NA,NA
429,1,1,"SALK_025133C",0,0,NA,NA,NA
430,1,1,"SALK_025133C",0,0,NA,NA,NA
431,1,1,"SALK_025133C",0,0,NA,NA,NA
432,1,1,"SALK_124095C",0,0,NA,NA,NA
433,1,1,"SALK_124095C",0,0,NA,NA,NA
434,1,1,"SALK_124095C",0,0,NA,NA,NA
435,1,1,"SALK_124095C",0,0,NA,NA,NA
436,1,1,"SALK_124095C",0,0,NA,NA,NA
437,1,1,"SALK_120841C",0,0,NA,NA,NA
438,1,1,"SALK_120841C",0,0,NA,NA,NA
439,1,1,"SALK_120841C",0,0,NA,NA,NA
440,1,1,"SALK_120841C",0,0,NA,NA,NA
441,1,1,"SALK_120841C",0,0,NA,NA,NA
442,1,1,"SALK_120841C",0,0,NA,NA,NA
443,1,1,"SALK_120841C",0,0,NA,NA,NA
444,1,1,"SALK_120841C",0,0,NA,NA,NA
445,1,1,"SALK_086457C",0,0,NA,NA,NA
446,1,1,"SALK_086457C",0,0,NA,NA,NA
447,1,1,"SALK_086457C",0,0,NA,NA,NA
448,1,1,"SALK_086457C",0,0,NA,NA,NA
449,1,1,"SALK_086457C",0,0,NA,NA,NA
450,1,1,"SALK_086457C",0,0,NA,NA,NA
451,1,1,"SALK_086457C",0,0,NA,NA,NA
452,1,1,"SALK_086457C",0,0,NA,NA,NA
453,1,1,"SALK_086457C",0,0,NA,NA,NA
454,1,1,"SALK_086457C",0,0,NA,NA,NA
455,1,1,"SALK_086457C",0,0,NA,NA,NA
456,1,1,"SALK_086457C",0,0,NA,NA,NA
457,1,1,"SALK_086457C",0,0,NA,NA,NA
458,1,1,"SALK_084513C",0,0,NA,NA,NA
459,1,1,"SALK_084513C",0,0,NA,NA,NA
460,1,1,"SALK_084513C",0,0,NA,NA,NA
461,1,1,"SALK_011841C",0,0,NA,NA,NA
462,1,1,"SALK_011841C",0,0,NA,NA,NA
463,1,1,"SALK_011841C",0,0,NA,NA,NA
464,1,1,"SALK_011841C",0,0,NA,NA,NA
465,1,1,"SALK_011841C",0,0,NA,NA,NA
466,1,1,"SALK_011841C",0,0,NA,NA,NA
467,1,1,"SALK_011841C",0,0,NA,NA,NA
468,1,1,"SALK_011841C",0,0,NA,NA,NA
469,1,1,"SALK_011841C",0,0,NA,NA,NA
470,1,1,"SALK_011841C",0,0,NA,NA,NA
471,1,1,"SALK_011841C",0,0,NA,NA,NA
472,1,1,"SALK_027697C",0,0,NA,NA,NA
473,1,1,"SALK_027697C",0,0,NA,NA,NA
474,1,1,"SALK_027697C",0,0,NA,NA,NA
475,1,1,"SALK_027697C",0,0,NA,NA,NA
476,1,1,"SALK_027697C",0,0,NA,NA,NA
477,1,1,"SALK_027697C",0,0,NA,NA,NA
478,1,1,"SALK_027697C",0,0,NA,NA,NA
479,1,1,"SALK_027697C",0,0,NA,NA,NA
480,1,1,"SALK_027697C",0,0,NA,NA,NA
481,1,1,"SALK_CS60000",0,0,NA,NA,NA
482,1,1,"SALK_CS60000",0,0,NA,NA,NA
483,1,1,"SALK_CS60000",0,0,NA,NA,NA
484,1,1,"SALK_CS60000",0,0,NA,NA,NA
485,1,1,"SALK_CS60000",0,0,NA,NA,NA
486,1,1,"SALK_CS60000",0,0,NA,NA,NA
487,1,1,"SALK_CS60000",0,0,NA,NA,NA
488,1,1,"SALK_CS60000",0,0,NA,NA,NA
489,1,1,"SALK_CS60000",0,0,NA,NA,NA
490,1,1,"SALK_CS60000",0,0,NA,NA,NA
491,1,1,"SALK_CS60000",0,0,NA,NA,NA
492,1,1,"SALK_CS60000",0,0,NA,NA,NA
493,1,1,"SALK_CS60000",0,0,NA,NA,NA
494,1,1,"SALK_CS60000",0,0,NA,NA,NA
495,1,1,"SALK_058604C",0,0,NA,NA,NA
496,1,1,"SALK_058604C",0,0,NA,NA,NA
497,1,1,"SALK_058604C",0,0,NA,NA,NA
498,1,1,"SALK_058604C",0,0,NA,NA,NA
